Subject;Session;Task;Contraction_Mode;Recording;Trial_Type;Trial_Index;Onset_s;Intensity;Mean_HbR_uM;Mean_HbO_uM;Mean_HbDiff_uM;Mean_HbTot_uM;EnvelopePeak_HbR_uM;EnvelopePeak_HbO_uM;EnvelopePeak_HbDiff_uM;EnvelopePeak_HbTot_uM;EnvelopeMean_HbR_uM;EnvelopeMean_HbO_uM;EnvelopeMean_HbDiff_uM;EnvelopeMean_HbTot_uM;AUC_HbR_uM_s;AUC_HbO_uM_s;AUC_HbDiff_uM_s;AUC_HbTot_uM_s
001;001;concentric;Concentric;portalite;Con50;1;1260,8357330051367;50%;-0,583451619122158;-3,2920765917467723;-2,7086249726246145;-3,875528210868931;10,997176126423259;33,13550462986879;24,077083177076826;41,9372145708444;3,5799114815891175;11,578437294248753;9,314037502166103;14,429606120281964;84,26099573270177;271,5841432013424;218,671918602882;339,23420532295336
001;001;concentric;Concentric;portalite;Con50;2;1389,520155262042;50%;-0,4976587497270402;-4,2119856264363005;-3,714326876709261;-4,70964437616334;10,237202454977886;29,149618047303463;22,23483480055526;36,829551866621976;3,6390395962818256;11,470505321773087;9,235580624297578;14,363568083199848;87,38616123957635;265,92954987728325;212,39596205055392;337,67962092238866
001;001;concentric;Concentric;portalite;Con50;3;1519,4446008601954;50%;-0,8256043941278738;-3,672125669787623;-2,8465212756597493;-4,497730063915497;8,89622654246954;33,68508575327709;26,13499224892793;41,13565196810765;3,408260381451455;12,229655437518932;9,74809284074495;15,114111273620576;81,56402298326708;285,5783636397093;226,37311730052977;352,88821605323545
001;001;concentric;Concentric;portalite;Con30;1;1732,3946092678816;30%;-0,0004211949751919425;-4,545970048751978;-4,545548853776786;-4,54639124372717;5,165546430391311;31,681834044982246;27,34828680380436;36,804447108942206;2,1459341588470986;11,073156443667138;10,594097577249574;12,000078395005447;53,22265478333423;268,53399954694464;255,1351910272984;287,10988625569416
001;001;concentric;Concentric;portalite;Con30;2;1862,2350532848504;30%;-0,3156593238792683;-4,033200403190642;-3,7175410793113732;-4,348859727069909;6,166442589825768;34,10681787220106;28,94381813710916;39,21329687959369;1,9987809666603102;11,422445763832366;10,375386173247529;12,726260914781395;46,23531148517643;278,0612399778508;252,86073927741154;306,6225052057015
001;001;concentric;Concentric;portalite;Con30;3;1991,915494290035;30%;-0,27533648525302906;-4,707002948322263;-4,4316664630692335;-4,982339433575291;6,397011150724222;35,77324455142548;30,72690552986063;41,06339804726164;1,9500639043217483;11,700961612952831;11,040814590732333;12,698192781364362;46,59979312377953;275,28856809396314;259,27814433061764;294,58492314716443
001;002;eccentric;Eccentric;portalite;Ecc30;1;1280,0378172651697;30%;-2,427272412321081;-4,228488568830937;-1,801216156509855;-6,655760981152017;30,23204721092228;54,54304168824723;24,32008686867052;84,76360322729226;6,265750227790348;13,500934076716758;7,754083699550891;19,536573817078153;127,97817561423702;315,52185250900385;192,9974475117567;439,5653548752582
001;002;eccentric;Eccentric;portalite;Ecc30;2;1409,2324230095855;30%;-1,0723388759950085;-4,852149338696936;-3,7798104627019273;-5,924488214691944;28,64752686627624;57,26753838065472;28,448331186078427;86,05819639667862;4,908803250245977;12,320432177844877;7,836423790319493;17,038795112155665;105,42751832451773;284,57553437949946;187,57551657841628;384,19496981447173
001;002;eccentric;Eccentric;portalite;Ecc30;3;1540,9690800249964;30%;-2,34545990907813;-4,371043090699403;-2,0255831816212724;-6,716502999777533;30,648397031304608;61,18402279650815;30,49933071327337;91,85171247554715;5,4217207186999135;13,227547261779279;8,19485023803563;18,466638347438103;115,58364738573827;323,96598701787866;211,35441872961636;437,85181957994536
001;002;eccentric;Eccentric;portalite;Ecc50;1;1787,6380551267112;50%;-2,834164308580859;-6,119786873811899;-3,28562256523104;-8,953951182392759;29,96239159734956;58,9396217328719;28,797693438947835;89,00818197747216;5,835695299709669;13,852034973128948;8,550737524475753;19,45218638806765;126,10073134630785;329,94344887241044;214,73597631345808;449,0344473971529
001;002;eccentric;Eccentric;portalite;Ecc50;2;1916,9926640982549;50%;-1,6795792694966705;-5,200170271111747;-3,520591001615077;-6,879749540608416;33,99700084062067;64,19291149611655;29,697399219608833;98,34270751944834;5,026428507159548;11,955149291060657;7,227998003601994;16,837006949767208;104,52669521860963;264,99681396269517;168,54589583829684;366,0557235028925
001;002;eccentric;Eccentric;portalite;Ecc50;3;2046,4812757725183;50%;-2,264686181932877;-7,424623127579308;-5,1599369456464315;-9,689309309512186;26,739320550792133;51,09326901921886;23,657051498921554;78,77119530148094;5,138641576484985;13,668096990938176;8,788677417929001;18,6952788440327;116,64358292890492;334,4929498228905;226,91363084568468;445,2505720637752
002;001;eccentric;Eccentric;portalite;Ecc30;1;1316,473504352718;30%;-1,14025411338459;0,4863922240885494;1,6266463374731397;-0,653861889296041;4,7068425955925655;9,544059190411536;12,113284169556247;8,57823292406294;2,8391963551257637;2,579365366617929;4,898555467848005;2,319443326056399;78,18660938485456;64,56891675548611;131,27656284264873;55,75229968498351
002;001;eccentric;Eccentric;portalite;Ecc30;2;1445,779812990968;30%;-0,9221568501764162;-0,875061860275023;0,04709498990139334;-1,7972187104514392;4,317163414734819;9,56265071084473;8,475739930074264;10,957358621463934;2,060145364243046;2,415195417025777;3,212429622157242;3,196357167152354;54,5150166453428;53,848893084777785;80,42095081915858;74,19262696696865
002;001;eccentric;Eccentric;portalite;Ecc30;3;1575,4421279853668;30%;-1,2022240416935075;-0,5000249398173596;0,7021991018761476;-1,702248981510867;4,82649362536049;15,252896543382471;12,535007205507982;17,883300898494955;2,4754246052716655;3,74136847615692;5,1657550329799;3,689319889425395;66,545450666774;88,77295190105005;136,96989729319776;78,23606657052886
002;001;eccentric;Eccentric;portalite;Ecc50;1;1792,1299967362977;50%;-1,5374918244844304;-0,25553184619450203;1,2819599782899282;-1,7930236706789326;4,698488168459258;21,900925519583875;18,10136118489723;24,85413327323977;2,5521530070022544;7,158481545484789;8,32234757198177;6,660756799557398;66,9981882610315;175,51962316694184;211,56327235549307;153,02476130597273
002;001;eccentric;Eccentric;portalite;Ecc50;2;1921,5863080526976;50%;-1,2852716052433342;-1,0404692160150706;0,2448023892282638;-2,3257408212584045;4,700613712525404;17,406409226342696;17,766695408556604;19,55936150946651;2,423847372543822;6,395434978141866;7,238726693660809;6,33240203115443;64,0477618041503;150,8810487133585;186,6357426148362;138,99231356105227
002;002;concentric;Concentric;portalite;Con30;1;1324,5094119869173;30%;-3,682670833899428;-3,8421151996908187;-0,15944436579139068;-7,524786033590248;17,558780963823594;32,92075637564268;17,55976971774202;51,255770420839816;6,928787267768503;13,857975151525865;8,878487179149134;19,927321716137673;161,53821695911702;342,4356519921689;216,12200283102098;479,6618370307841
002;002;concentric;Concentric;portalite;Con30;2;1453,9617001814768;30%;-2,4225715483511108;-3,9424821190821593;-1,519910570731049;-6,365053667433271;17,001741403504454;31,706896219152377;14,714162302679863;48,769436293053495;5,929549908845914;11,025848426139582;6,233736419850256;16,517496890745758;130,80595359692188;247,83099932008415;145,75781237835656;365,2469871797196
002;002;concentric;Concentric;portalite;Con30;3;1583,9919985929737;30%;-2,3260701193203586;-3,8706577199065437;-1,5445876005861845;-6,196727839226901;16,065062538035267;31,969139962566185;15,857360572412492;48,14281247208363;5,251117312042366;10,289927969575611;6,216730691162376;15,027964513489376;115,96455867957715;221,09605102461134;144,81891177365742;320,97186932256153
002;002;concentric;Concentric;portalite;Con50;1;1825,148261263501;50%;-2,834803166285144;-4,431747276467206;-1,5969441101820618;-7,26655044275235;18,055558323895358;33,891750589037045;17,65886935703984;51,08901512991056;6,654524105039086;12,658129672197848;8,006499777363308;18,385776142972443;154,2321754284877;285,4098443666577;193,454643005182;416,47531401358737
002;002;concentric;Concentric;portalite;Con50;2;1958,2566140826093;50%;-2,340940174402444;-4,520376791153411;-2,179436616750967;-6,861316965555854;18,07111919966319;34,43712850358788;16,964319345328665;52,206708115288684;6,5144167885973685;11,85588110252609;7,07312753645406;17,651940012096325;149,61040720627196;256,54471767366806;169,04977644511908;388,02642627687766
002;002;concentric;Concentric;portalite;Con50;3;2088,162910302228;50%;-2,841627095318624;-4,5940869968586835;-1,7524599015400588;-7,4357140921773075;16,862131618483446;34,26841467303831;17,56805379736985;51,2094947451192;5,934818014226322;11,972515648120844;7,474914325642522;17,219928523667658;133,8200207353758;269,7649159554959;181,74366422057687;387,61217238955595
003;001;eccentric;Eccentric;portalite;Ecc50;1;1369,434575379917;50%;-1,7836796869183182;0,7359775440829813;2,5196572310012995;-1,0477021428353372;7,899086654635515;13,75258581342968;14,853097896750471;21,287253396344436;3,5356707457905845;4,610701759180786;6,836450761491872;4,379977689963129;91,68642498122256;114,48467985255348;177,91957543717166;99,6141709843561
003;001;eccentric;Eccentric;portalite;Ecc50;2;1501,9489534352433;50%;-2,2845262473460344;0,9212356521847213;3,2057618995307564;-1,3632905951613135;9,288179545151007;16,910753970997643;17,31482560453514;22,40538543956501;3,791088869670915;6,757410424379691;8,16852377191006;7,2132085415653435;95,48801735475507;166,17412175981198;206,72282768709363;165,43602540556796
003;001;eccentric;Eccentric;portalite;Ecc50;3;1639,279417918322;50%;-1,6202723705072049;0,46417858425382463;2,0844509547610297;-1,15609378625338;9,637077546215057;18,890305298987904;15,20016501004497;26,478553751102226;3,2645557585268508;6,385296144984937;7,353515491677398;6,860388549241231;79,08294393901036;153,62203613555323;185,19990013605076;150,94757660079387
003;001;eccentric;Eccentric;portalite;Ecc30;1;1855,3572955741288;30%;-0,507293278481926;1,1804941063902101;1,687787384872136;0,6732008279082844;5,912158892092563;11,78625717943549;11,540744897282776;12,463937919248107;2,474433780706858;5,128717453419036;6,528034787000269;4,710349277537466;62,60313249819117;130,9276226555806;179,41701337607435;111,24943173745251
003;001;eccentric;Eccentric;portalite;Ecc30;2;1985,139624601088;30%;-1,594268486883604;-0,07110627619520138;1,5231622106884029;-1,6653747630788056;6,576693022027698;13,213141590435725;12,762732004773772;16,519298783153165;3,394855010724217;5,057221144253616;6,016101916463372;6,1391097064058435;86,85526218204117;123,38300926490605;156,89340413737744;150,39427723079532
003;001;eccentric;Eccentric;portalite;Ecc30;3;2116,365979542013;30%;-1,5988465560802683;-0,877633772598336;0,721212783481932;-2,476480328678605;6,362028394371133;16,69615551404603;11,444516940806977;22,556568534413113;2,5103505310170546;5,7299102783486795;4,638172574492114;7,483775360709918;61,98719893572314;132,19112556090707;113,4055965175464;171,3075937201737
003;002;concentric;Concentric;portalite;Con50;1;1436,1030027501183;50%;-0,8290110532009133;1,3694076265563637;2,1984186797572765;0,5403965733554504;9,614894251899534;12,352063029750813;20,403163429980943;8,158912002200918;4,169184180657734;5,479217842645873;9,24629547812287;3,189296444935663;103,0199461577105;136,7349944831617;229,70788241314165;75,96489311216513
003;002;concentric;Concentric;portalite;Con50;2;1586,6720435600437;50%;-0,5475488306372424;0,9713922672052173;1,5189410978424602;0,42384343656797535;11,22762313370808;13,09618142887185;23,473035205823653;6,519125370426941;4,7486777891245895;5,037871050679581;9,458412196156237;2,6299001199623135;116,4602074872661;124,00699030969852;233,3681594305189;59,29271112485033
003;002;concentric;Concentric;portalite;Con50;3;1722,5847883794395;50%;-1,6040823131495758;1,3382732848621526;2,9423555980117286;-0,2658090282874234;7,9161978770697345;8,104189313123001;12,940466902094753;6,640234756072838;3,49604323401756;3,366833351779625;6,403867247220182;2,5446055952450815;84,96223209071371;84,15834445111975;159,8419762164067;62,672335872148786
003;002;concentric;Concentric;portalite;Con30;1;2055,6355144895915;30%;-1,1379735778872853;1,358658171693453;2,4966317495807377;0,2206845938061676;6,473804074239291;7,8767939599314065;12,08454034141385;6,9985074414693775;2,8077083355948145;3,057420046701758;5,427729545239095;2,2449980412360118;68,21884728357173;74,16180987465621;130,3686745372904;55,60147015974487
003;002;concentric;Concentric;portalite;Con30;2;2184,9061251680814;30%;-1,0655377819733052;-0,0006541389796896425;1,0648836429936153;-1,0661919209529946;5,555922122743351;5,1510280264484685;7,591959821744621;6,364824170557532;2,4742678480701707;1,6815047277194208;3,5608379378766863;2,3185757810374756;63,182779616222035;40,44293677659563;91,87881713768769;55,72913597957532
